"小说","科幻小说","https:item['book_img']","太空漫游四部曲"," 阿瑟·克拉克 ","上海文艺出版社","2019-06","299"
"小说","军事","https:item['book_img']","血色浪漫(舒适阅读版)"," 都梁 ","北京联合出版公司","2017-09","29.7"
"小说","四大名著","https:item['book_img']","西游记（套装上下册）"," 吴承恩 ","人民文学出版社","1980-05","29.8"
"小说","中国近现代小说","https:item['book_img']","边城（纪念典藏版）"," 沈从文 ","武汉出版社","2013-09","21.9"
"小说","穿越/重生/架空","https:item['book_img']","凤逆苍穹3魂兮归来"," 路非 ","江苏文艺出版社","2014-04","29.2"
"小说","军事","https:item['book_img']","战争与回忆（全2册）"," 赫尔曼·沃克 ","湖南文艺出版社","2016-01","64.1"
"小说","宫廷","https:item['book_img']","历史的另一半：嗜血的凤冠"," 李怀安 ","浙江人民出版社","2017-06","24.1"
"小说","中国近现代小说","https:item['book_img']","狂人日记：鲁迅小说集"," 鲁迅 ","海南出版社","2017-01","19.3"
"小说","中国当代小说","https:item['book_img']","余华作品：兄弟（新版）"," 余华 ","作家出版社","2017-09","49"
"小说","中国近现代小说","https:item['book_img']","骆驼祥子（插图本）"," 老舍 ","人民文学出版社","2016-01","20.4"
"小说","宫廷","https:item['book_img']","后宫·褒姒传（套装共3册）"," 飞刀叶 ","中国友谊出版公司","2016-06","69.8"
"小说","都市","https:item['book_img']","如果事与愿违就相信一定另有安排"," 宋筱白 ","九州出版社","2016-10","27.5"
"小说","中国当代小说","https:item['book_img']","长安十二时辰（下）"," 马伯庸 ","湖南文艺出版社","2017-01","33.6"
"小说","宫廷","https:item['book_img']","梨花错（套装上下册）"," 胭脂水 ","上海社会科学院出版社","2017-04","58.5"
"小说","都市","https:item['book_img']","在时间的荒野上—青衫落拓"," 青衫落拓 ","长江文艺出版社","2017-10","24.8"
"小说","外国小说","https:item['book_img']","契诃夫短篇小说集"," 契诃夫 ","黑龙江科学技术出版社","2018-03","31.1"
"小说","中国当代小说","https:item['book_img']","迟子建：候鸟的勇敢"," 迟子建 ","人民文学出版社","2018-04","30.2"
